@relation document_classify
@attribute class {technology, education, healthy}
@attribute keyword string
@data
technology,'amy_adler, bận, bồi_hoàn, cariou, con_khỉ, daily_mail_anh, david_slater, dụng_cụ, frieze_art, fullana'
technology,'amsterdam, arpanet, bbn, bolt_beranek, boston, broadalbin_centrai, chào_đời, comments, cửa_tiệm, eduard_rhein_kulturpreis'
technology,'chồng_chất, co_cụm, cửa_miệng, giải_cứu, gánh_vác, honda, khủng_hoảng_kinh_tế, luẩn_quẩn, lụi, mô_típ'
technology,'active_matrix, am_amoled, amoled_lcd, bóng_bán_dẫn, bước_sóng, chữ_viết, cây_xanh, dây_dẫn, dòng_điện, fbg'
technology,'aaron_stein, abc, amazon_kindle, apple_keychains, bryan_thomas, bản_chất, bẻ_khóa, chức_trách, cloud_backup, cloud_tuy'
technology,'bó_buộc, bất_bình_đẳng, cạnh_đáy, elite, hâm_nóng, m3, matebook, người_dân, rick_osterloh, ssd'
technology,'adam_doud, ars_technica, bỏ_ngỏ, chống_đối, contiuum, gục, hi_vọng, khi_microsoft, kình_địch, lý_tưởng'
technology,'a7010, android_lollipop, hình_thể, khử, mediatek, mày_mò, nịnh, otg, phụ_nữ, ban_ngày'
technology,'abdul_aziz, abidali_neemuchwala, alwaleed, azim_premji, azim_premji_tài, china_yellowpages, cháu, glu_mobile, hiện_wipro, horizon_ventures'
technology,'biển_báo, bmw, báo_hiệu, bếp, chiếu_phim, cây_bút, cướp, cử_động, family_hub_samsung, galaxy_note_samsung'
technology,'chiếm_đoạt, chui_lủi, cấp_điện, cầu_dao, gchq, giáng_sinh, giả_danh, hàng_rào, hđh, hậu_thuẫn'
technology,'baloch, bishop_fox, bitquark, chrome_google, csrf, cám_ơn, danh_dự, dính_dáng, emily_stark, facebook_camera'
technology,'backdoor, bắc_kinh_apple, china_business_journal, cnn, cúi, cứng_đầu, dự_thảo, hoa_kỳ, hung_thủ, hợp_pháp_hóa'
technology,'adam_bain, an_lòng, cổ_phần_hóa, dick_costolo, dorsey, evan_wilson, fast, followers, hiện_hữu, hội_đồng'
technology,'ako_salemi, carl_zeiss, coating, cận_cảnh, exolens, ii/2016, iris_lens_photojojo, iris_photojojo, janos, lê_thạch'
technology,'blu-ray, chân_đế, colorprime, còn_sony, dvb, dx900, hd_hdr, hdr_tv, high_dynamic_range, ifa'
technology,'alexa_amazon, biến_chuyển, bới, chuyển_khoản, châu_âu, chẳng_mấy_chốc, chứng_nhân, cất_công, dọn, fax'
technology,'add, c_nexus, cử_chỉ, google_drive, google_now_android, google_now_google_now, google_thiết_android, launcher, launcher_mọi, live_tiles_windows_phone'
technology,'danh_tính, fido, hiệp_hội, khai_báo, kém_cạnh, le_max_pro, lưu_giữ, msm, máy_quét, nguyên_lý'
technology,'amazon_echo, amazon_google, apple_siri, bong_bóng, bùng_phát, bản_nhạc, bệnh_dịch, bụng, chải, còn_internet'
technology,'bia, bồi_bàn, chết_hụt, con_gái, designone, du_học, forbes_việt_nam, golden_gate_ventures, gái, gọi_vốn'
technology,'chông_gai, compact, dù_xperia, dời, hoàn_cảnh, hào_quang, lenovo_cùng, lộng_ngôn, microsoft_black, nghi_án'
technology,'bao_bì, dở_khóc_dở_cười, hàng_hàng, hàng_phố, hỏng_hóc, kết_cấu, lái_buôn, lâm, lên_đời, máy_xách_tay'
technology,'bgr, gầy_dựng, khuấy_động, kiện_cáo, mấu_chốt, nước_đại, phone_samsung, phỏng_đoán, thiên_thời, thành_tích'
technology,'ba_lô, bù_lỗ, chem, chiêu_bài, chứng_dẫn, cơ_động, cắn_xé, g_flex, giá_sàn, gói_ghém'
technology,'air_play, continuity_handoff, câu_steve_jobs, danh_bạ, ghen_tức, gỡ_rối, ibooks, ipads, iphoto, itunes'
