@relation document_classify
@attribute class {technology, education, healthy}
@attribute keyword string
@data
technology,'amy_adler, bận, bồi_hoàn, cariou, con_khỉ, daily_mail_anh, david_slater, dụng_cụ, frieze_art, fullana, gizmodo, hardocp, hi_hữu, hành_xử, instagram_việc, joshua, joshua_dunlop, kháng_án, khỉ, kiện_tụng'
technology,'amsterdam, arpanet, bbn, bolt_beranek, boston, broadalbin_centrai, chào_đời, comments, cửa_tiệm, eduard_rhein_kulturpreis, george, giải_thưởng, giải_văn, hộp_thư, imps, interface_message_processors, internet_hall, jerry_burchfiel, jerry_burchfiel_ray, luận_án'
technology,'chồng_chất, co_cụm, cửa_miệng, giải_cứu, gánh_vác, honda, khủng_hoảng_kinh_tế, luẩn_quẩn, lụi, mô_típ, mẫu_xperia, ngạo_mạn, nét_sony, omnibalance, pocket_now, pod_apple, sa_chân, sdds, sony_apple, sony_assurance'
technology,'active_matrix, am_amoled, amoled_lcd, bóng_bán_dẫn, bước_sóng, chữ_viết, cây_xanh, dây_dẫn, dòng_điện, fbg, hỗn_hợp, khoàn, lcd_amoled, lcd_lcd, lcd_oled, lcd_v1, liquid_crystal_display, ma_trận, mời_chào, nước_biển'
technology,'aaron_stein, abc, amazon_kindle, apple_keychains, bryan_thomas, bản_chất, bẻ_khóa, chức_trách, cloud_backup, cloud_tuy, cố_tình, docs_calendar, dây_cáp, govtos, khám_xét, kẻ_gian, lẻn, nếm, phiên_tòa, qủa'
technology,'bó_buộc, bất_bình_đẳng, cạnh_đáy, elite, hâm_nóng, m3, matebook, người_dân, rick_osterloh, ssd, stylus, surface_pro, thềm, tranh_luận, trường_học, tạm_biệt, barcelona, chọn_lọc, cặp, dslr'
technology,'adam_doud, ars_technica, bỏ_ngỏ, chống_đối, contiuum, gục, hi_vọng, khi_microsoft, kình_địch, lý_tưởng, microsoft_mặc, mobile_continuum, ngôi_vị, nhăm_nhe, níu_kéo, ruột, thoạt, thắng_bại, trông_cậy, tính_mạng'
technology,'a7010, android_lollipop, hình_thể, khử, mediatek, mày_mò, nịnh, otg, phụ_nữ, ban_ngày, bề_ngoài, cat, dolby_atmos, hội_thoại, tay_mặt, trang_viên, xong, đa_nhiệm, đường_cong, bắt_mắt'
technology,'abdul_aziz, abidali_neemuchwala, alwaleed, azim_premji, azim_premji_tài, china_yellowpages, cháu, glu_mobile, hiện_wipro, horizon_ventures, hoàng_tử, hutchison_holdings, jack_ma, jack_ma_tài, khí_hậu, kingdom_holdings_co, kingsoft, kingsoft_xiaomi, lei_jun, lei_jun_tài'
technology,'biển_báo, bmw, báo_hiệu, bếp, chiếu_phim, cây_bút, cướp, cử_động, family_hub_samsung, galaxy_note_samsung, hình_dáng, kiến_tạo, laser, làn_đường, lơ_là, máy_chiếu, mặt_nước, nấu_ăn, quản_gia, radar'
technology,'chiếm_đoạt, chui_lủi, cấp_điện, cầu_dao, gchq, giáng_sinh, giả_danh, hàng_rào, hđh, hậu_thuẫn, hối_thúc, ian_glover, kaspersky_lab, killdisk, lừa, máy_nước, máy_phát_điện, máy_điện, ngắt, phó_giám_đốc'
technology,'baloch, bishop_fox, bitquark, chrome_google, csrf, cám_ơn, danh_dự, dính_dáng, emily_stark, facebook_camera, facebook_whitehat_hall, fame_facebook, fame_pay, framework, frans_rosén, google_mozilla, google_sites, hacker_google, hackerone, haker'
technology,'backdoor, bắc_kinh_apple, china_business_journal, cnn, cúi, cứng_đầu, dự_thảo, hoa_kỳ, hung_thủ, hợp_pháp_hóa, không_mỹ, lổ, microsoft_yahoo, money, mỹ_nhằm, nhân_dân_nhật_báo_trung_quốc, nhưng_trung_quốc, quản_lí, san_bernardino, syed_farook'
technology,'adam_bain, an_lòng, cổ_phần_hóa, dick_costolo, dorsey, evan_wilson, fast, followers, hiện_hữu, hội_đồng, hội_đồng_quản_trị, instagram_snapchat, jack_dorsey, kordestani, mkm, mũi_nhọn, ngay_giám, nghi_ngại, nhiệm_kỳ, omid_kordestani'
technology,'ako_salemi, carl_zeiss, coating, cận_cảnh, exolens, ii/2016, iris_lens_photojojo, iris_photojojo, janos, lê_thạch, m_schmidt, macro, melissa_vincent, mua_buôn, mộc, nội_trợ, phone_melissa_vincent, photojojo, quay_vòng, sony_schmidt'
technology,'blu-ray, chân_đế, colorprime, còn_sony, dvb, dx900, hd_hdr, hdr_tv, high_dynamic_range, ifa, ks9500, lăng, nits, picture-on-glass, settop-box, suhd_tv, technicolor, tv4k, tv_hdr, tv_hdr_tv'
technology,'alexa_amazon, biến_chuyển, bới, chuyển_khoản, châu_âu, chẳng_mấy_chốc, chứng_nhân, cất_công, dọn, fax, first_data, giấy_tờ, ký_kết, kỹ_xảo, liên_bang_mỹ, liệt_kê, nốt_nhạc, quẹt, scan, song_hành'
technology,'add, c_nexus, cử_chỉ, google_drive, google_now_android, google_now_google_now, google_thiết_android, launcher, launcher_mọi, live_tiles_windows_phone, lấy_samsung, moto_maker, task, trong_apple, tệ_hại, và_android, với_marshmallow, vừab, widget, widget_widget_android'
technology,'danh_tính, fido, hiệp_hội, khai_báo, kém_cạnh, le_max_pro, lưu_giữ, msm, máy_quét, nguyên_lý, phân_tách, phản_xạ, rãnh, siêu_âm, tee, thu_giữ, thuộc_tính, trusted_execution_environment, trustzone, tác_nhân'
technology,'amazon_echo, amazon_google, apple_siri, bong_bóng, bùng_phát, bản_nhạc, bệnh_dịch, bụng, chải, còn_internet, căn_bản, dấu_chấm, hiện_diện, kho_tàng, khởi_phát, lan_rộng, lte…, lây_lan, lượn_lờ, microphone'
technology,'bia, bồi_bàn, chết_hụt, con_gái, designone, du_học, forbes_việt_nam, golden_gate_ventures, gái, gọi_vốn, kaist, lozi, lập_nghiệp, miêu_tả, nguyễn_hoàng_trung, quảng_ngãi, thôi_thúc, trai_trẻ, tụi, về_việt_nam'
technology,'chông_gai, compact, dù_xperia, dời, hoàn_cảnh, hào_quang, lenovo_cùng, lộng_ngôn, microsoft_black, nghi_án, nhưng_passport, niềm_vui, ném, passport_priv, rẽ, samsung_lenovo, sức_bật, thua_lỗ, tình_cảnh, vui_samsung'
technology,'bao_bì, dở_khóc_dở_cười, hàng_hàng, hàng_phố, hỏng_hóc, kết_cấu, lái_buôn, lâm, lên_đời, máy_xách_tay, nguyên_bản, nội_thành, thu_gom, thương_gia, tân_trang, tật, va_chạm, video_những, đầu_nậu, đống_đa'
technology,'bgr, gầy_dựng, khuấy_động, kiện_cáo, mấu_chốt, nước_đại, phone_samsung, phỏng_đoán, thiên_thời, thành_tích, thời_thế, video_tín, đơn_kiện, địa_lợi, đối_trọng, bắt_chước, cãi_vã, cừu, motion, say'
technology,'ba_lô, bù_lỗ, chem, chiêu_bài, chứng_dẫn, cơ_động, cắn_xé, g_flex, giá_sàn, gói_ghém, hóa_tính, kindle_fire, lãi, ngay_samsung_moblie, nhấn_chìm, nhổ, nokia_palm, nếu_fire_phone, nội_thất, tay_đua'
technology,'air_play, continuity_handoff, câu_steve_jobs, danh_bạ, ghen_tức, gỡ_rối, ibooks, ipads, iphoto, itunes, kindle_amazon, mac_windows, mail_hình, mobileme, ngán_ngẩm, như_steve_jobs, notes, nể, os_os_x, pads'
technology,'a-series, a10, brazil, ca_thán, concept, diện_mạo, giả_thuyết, hậu_duệ, japan_display, khai_hỏa, ming-chi, mét, sóng_radio, sức_kéo, tái_diễn, tỉa, tờ_forbes, video_bên, video_dù, beats'
technology,'chùa, city_bridge, control_group, kios, linknyc, nguồn_gốc, nhập_nhằng, nyc, quy_đổi, sidewalk_labs, sáp_nhập, sơ_ý, titan_control_group, tráo_đổi, trả_giá, tại_new_york, vậy_wi, đèn_hiệu, đệ_trình, báo_điện_tử'
